Geography,Total Population,Male,Female,Median age (years),Male Median age (years),Female Median age (years),Average Household size*,Average Family size*,Persons Under 5 years,Persons Under 18 years,Persons Age 21+,Persons Age 55+,Persons Age 60+,Persons Age 65+,Percent Population Female,Percent Population Less than 18,,Geoid,
Chino Hills city,"78,411","38,475","39,936",39.5,38.4,40.5,N/A,N/A,"3,867","16,995","58,226","21,782","15,633","10,096",50.9%,21.7%,,1600000US0613214,
Colton city,"53,909","26,472","27,437",32.2,31.2,33.2,N/A,N/A,"3,674","14,362","37,166","11,361","8,291","5,553",50.9%,26.6%,,1600000US0614890,
Crestline CDP,"11,650","5,890","5,760",45.2,43.9,46.2,N/A,N/A,583,"2,148","9,127","4,457","3,484","2,409",49.4%,18.4%,,1600000US0617162,
Fontana city,"208,393","102,781","105,612",32.9,31.6,34.2,N/A,N/A,"13,174","56,615","141,442","42,169","29,757","19,483",50.7%,27.2%,,1600000US0624680,
Fort Irwin CDP,"8,096","4,619","3,477",24.0,24.3,23.4,N/A,N/A,"1,051","2,519","5,052",130,65,36,42.9%,31.1%,,1600000US0625114,
Grand Terrace city,"13,150","6,333","6,817",38.1,36.3,39.4,N/A,N/A,702,"2,831","9,815","3,871","3,053","2,225",51.8%,21.5%,,1600000US0630658,
Hesperia city,"99,818","49,405","50,413",33.2,32.2,34.2,N/A,N/A,"6,698","28,605","66,756","23,460","17,580","12,161",50.5%,28.7%,,1600000US0633434,
Highland city,"56,999","27,829","29,170",33.6,32.3,34.9,N/A,N/A,"3,693","15,595","38,725","13,004","9,486","6,405",51.2%,27.4%,,1600000US0633588,
Homestead Valley CDP,"2,789","1,439","1,350",53.8,53.9,53.5,N/A,N/A,114,399,"2,337","1,346","1,067",763,48.4%,14.3%,,1600000US0634392,
Joshua Tree CDP,"6,489","3,140","3,349",45.1,43.6,46.5,N/A,N/A,309,"1,210","5,114","2,506","2,049","1,488",51.6%,18.6%,,1600000US0637554,
Lake Arrowhead CDP,"12,401","6,241","6,160",49.3,48.6,49.9,N/A,N/A,568,"2,350","9,674","5,268","4,264","3,102",49.7%,19.0%,,1600000US0639444,
Lenwood CDP,"3,623","1,773","1,850",31.4,30.8,31.9,N/A,N/A,275,"1,162","2,298",847,636,448,51.1%,32.1%,,1600000US0641194,
Loma Linda city,"24,791","11,647","13,144",35.2,33.6,37.2,N/A,N/A,"1,402","4,925","19,115","6,999","5,770","4,231",53.0%,19.9%,,1600000US0642370,
Lucerne Valley CDP,"5,331","2,799","2,532",45.5,45.9,45.0,N/A,N/A,336,"1,160","4,021","2,091","1,592","1,125",47.5%,21.8%,,1600000US0644420,
Lytle Creek CDP,725,386,339,48.5,47.7,49.6,N/A,N/A,33,119,582,288,225,159,46.8%,16.4%,,1600000US0644644,
Mentone CDP,"9,557","4,673","4,884",36.7,35.7,37.5,N/A,N/A,555,"2,267","6,904","2,510","1,858","1,255",51.1%,23.7%,,1600000US0646884,
Montclair city,"37,865","18,744","19,121",34.1,32.5,35.6,N/A,N/A,"2,149","9,322","26,800","8,623","6,371","4,394",50.5%,24.6%,,1600000US0648788,
Morongo Valley CDP,"3,514","1,772","1,742",49.8,49.5,50.3,N/A,N/A,138,566,"2,873","1,508","1,173",804,49.6%,16.1%,,1600000US0649348,
Mountain View Acres CDP,"3,337","1,665","1,672",37.1,36.3,37.7,N/A,N/A,190,838,"2,363",972,730,508,50.1%,25.1%,,1600000US0649684,
Muscoy CDP,"10,719","5,427","5,292",29.7,29.6,29.8,N/A,N/A,766,"3,362","6,795","1,996","1,403",896,49.4%,31.4%,,1600000US0650132,
Needles city,"4,931","2,437","2,494",44.4,43.2,45.4,N/A,N/A,282,"1,115","3,667","1,861","1,483","1,030",50.6%,22.6%,,1600000US0650734,
Oak Glen CDP,602,362,240,45.8,41.3,53.0,N/A,N/A,12,76,505,237,181,135,39.9%,12.6%,,1600000US0652715,
Oak Hills CDP,"9,450","4,863","4,587",41.5,41.2,41.9,N/A,N/A,470,"2,203","6,863","3,002","2,189","1,425",48.5%,23.3%,,1600000US0652760,
Ontario city,"175,265","86,235","89,030",34.0,33.1,34.9,N/A,N/A,"11,315","43,371","124,430","38,125","27,754","18,574",50.8%,24.7%,,1600000US0653896,
Phelan CDP,"13,859","7,142","6,717",39.6,38.9,40.2,N/A,N/A,717,"3,296","9,982","4,348","3,302","2,183",48.5%,23.8%,,1600000US0656826,
Piñon Hills CDP,"7,258","3,745","3,513",43.9,42.8,45.1,N/A,N/A,355,"1,530","5,492","2,685","2,115","1,409",48.4%,21.1%,,1600000US0657302,
Rancho Cucamonga city,"174,453","85,013","89,440",38.3,36.8,39.7,N/A,N/A,"9,039","39,626","128,004","47,146","35,136","24,075",51.3%,22.7%,,1600000US0659451,
Redlands city,"73,168","34,763","38,405",37.9,36.3,39.3,N/A,N/A,"3,875","15,994","53,536","21,795","17,366","12,984",52.5%,21.9%,,1600000US0659962,
Rialto city,"104,026","50,697","53,329",32.2,31.0,33.4,N/A,N/A,"6,859","28,635","70,391","22,384","16,628","11,127",51.3%,27.5%,,1600000US0660466,
Running Springs CDP,"5,268","2,699","2,569",43.9,42.9,44.9,N/A,N/A,264,"1,078","4,056","1,917","1,473","1,016",48.8%,20.5%,,1600000US0663316,
San Antonio Heights CDP,"3,441","1,715","1,726",49.2,46.7,50.7,N/A,N/A,134,600,"2,741","1,452","1,146",819,50.2%,17.4%,,1600000US0664462,
San Bernardino city,"222,101","109,133","112,968",31.2,30.5,32.0,N/A,N/A,"15,624","62,499","148,732","45,947","33,359","22,409",50.9%,28.1%,,1600000US0665000,
Searles Valley CDP,"1,565",789,776,39.9,39.6,40.2,N/A,N/A,117,390,"1,138",534,406,278,49.6%,24.9%,,1600000US0670728,
Silver Lakes CDP,"6,317","3,161","3,156",44.6,43.0,46.3,N/A,N/A,315,"1,413","4,731","2,341","1,910","1,468",50.0%,22.4%,,1600000US0671964,
Spring Valley Lake CDP,"9,598","4,638","4,960",40.0,38.9,41.0,N/A,N/A,608,"2,235","6,970","3,050","2,401","1,745",51.7%,23.3%,,1600000US0673700,
Twentynine Palms city,"28,065","16,846","11,219",25.7,25.2,27.7,N/A,N/A,"2,249","5,866","19,642","4,022","3,065","2,077",40.0%,20.9%,,1600000US0680994,
Upland city,"79,040","38,004","41,036",38.7,37.0,40.3,N/A,N/A,"4,292","16,970","59,184","23,496","18,188","13,247",51.9%,21.5%,,1600000US0681344,
Victorville city,"134,810","66,868","67,942",31.7,30.8,32.6,N/A,N/A,"9,399","40,320","88,163","27,525","20,436","14,053",50.4%,29.9%,,1600000US0682590,
Wrightwood CDP,"4,720","2,364","2,356",44.5,44.1,45.0,N/A,N/A,273,"1,020","3,545","1,769","1,364",961,49.9%,21.6%,,1600000US0686594,
Yermo CDP,623,291,332,36.6,33.8,39.5,N/A,N/A,44,148,448,204,164,110,53.3%,23.8%,,1600000US0686720,
Yucaipa city,"54,542","26,563","27,979",39.6,38.4,40.8,N/A,N/A,"3,126","12,850","39,736","17,114","13,276","9,361",51.3%,23.6%,,1600000US0687042,
Yucca Valley town,"21,738","10,593","11,145",42.9,41.6,44.1,N/A,N/A,"1,205","4,669","16,340","7,992","6,436","4,741",51.3%,21.5%,,1600000US0687056,
San Diego County,"3,298,634","1,642,796","1,655,838",37.1,35.7,38.5,N/A,N/A,"174,765","689,866","2,461,162","902,436","695,087","499,874",50.2%,20.9%,,0500000US06073,
Alpine CDP,"14,696","7,262","7,434",42.7,41.7,43.7,N/A,N/A,781,"3,179","11,034","5,081","3,954","2,772",50.6%,21.6%,,1600000US0601192,
Bonita CDP,"12,917","6,247","6,670",43.5,41.9,44.6,N/A,N/A,611,"2,607","9,819","4,718","3,838","2,934",51.6%,20.2%,,1600000US0607414,
Bonsall CDP,"4,546","2,257","2,289",44.7,44.5,45.0,N/A,N/A,227,902,"3,501","1,732","1,390","1,052",50.4%,19.8%,,1600000US0607498,
Borrego Springs CDP,"3,073","1,546","1,527",60.2,60.4,60.1,N/A,N/A,105,446,"2,564","1,770","1,553","1,260",49.7%,14.5%,,1600000US0607596,
Bostonia CDP,"16,882","8,171","8,711",35.4,34.5,36.6,N/A,N/A,"1,089","4,199","12,067","4,428","3,328","2,272",51.6%,24.9%,,1600000US0607624,
Boulevard CDP,359,195,164,53.3,56.9,48.6,N/A,N/A,10,62,283,170,136,102,45.7%,17.3%,,1600000US0607694,
Campo CDP,"2,955","1,548","1,407",39.0,39.7,38.6,N/A,N/A,183,757,"2,095",907,724,476,47.6%,25.6%,,1600000US0610508,
Camp Pendleton Mainside CDP,"9,683","7,311","2,372",21.9,21.9,21.9,N/A,N/A,446,"1,072","6,054",111,89,78,24.5%,11.1%,,1600000US0610554,
Camp Pendleton South CDP,"12,468","6,702","5,766",22.3,22.3,22.3,N/A,N/A,"2,000","3,927","7,254",135,96,51,46.2%,31.5%,,1600000US0610561,
Carlsbad city,"114,746","55,737","59,009",43.5,42.1,44.8,N/A,N/A,"5,190","25,014","85,893","38,137","29,473","21,740",51.4%,21.8%,,1600000US0611194,
Casa de Oro-Mount Helix CDP,"19,576","9,613","9,963",45.2,44.0,46.4,N/A,N/A,948,"3,861","15,040","7,353","5,895","4,375",50.9%,19.7%,,1600000US0611691,
Chula Vista city,"275,487","133,570","141,917",36.4,34.9,37.9,N/A,N/A,"15,452","67,592","196,043","67,722","50,865","35,811",51.5%,24.5%,,1600000US0613392,
Coronado city,"20,192","10,496","9,696",38.8,32.2,44.6,N/A,N/A,808,"3,705","14,838","6,582","5,389","4,246",48.0%,18.3%,,1600000US0616378,
Crest CDP,"2,828","1,434","1,394",41.9,40.6,42.8,N/A,N/A,164,596,"2,157",994,761,537,49.3%,21.1%,,1600000US0617106,
Del Dios CDP,396,208,188,55.5,54.0,57.3,N/A,N/A,9,56,334,199,170,128,47.5%,14.1%,,1600000US0618422,
Del Mar city,"3,954","1,954","2,000",53.9,53.9,54.0,N/A,N/A,105,502,"3,332","1,902","1,531","1,199",50.6%,12.7%,,1600000US0618506,
Descanso CDP,"1,499",752,747,50.5,49.3,51.9,N/A,N/A,60,274,"1,186",676,534,374,49.8%,18.3%,,1600000US0618940,
El Cajon city,"106,215","52,303","53,912",36.0,34.9,37.2,N/A,N/A,"6,992","26,049","76,169","28,230","21,367","14,994",50.8%,24.5%,,1600000US0621712,
Elfin Forest CDP,600,276,324,47.9,48.7,47.4,N/A,N/A,20,116,466,250,182,126,54.0%,19.3%,,1600000US0621916,
Encinitas city,"62,007","30,378","31,629",43.8,42.6,44.9,N/A,N/A,"2,933","12,325","47,818","21,436","16,950","12,539",51.0%,19.9%,,1600000US0622678,
Escondido city,"151,038","74,366","76,672",35.7,34.3,37.0,N/A,N/A,"9,177","36,453","108,267","38,872","29,612","20,923",50.8%,24.1%,,1600000US0622804,
Eucalyptus Hills CDP,"5,517","2,825","2,692",40.0,40.2,39.8,N/A,N/A,382,"1,338","4,022","1,864","1,473","1,039",48.8%,24.3%,,1600000US0623000,
Fairbanks Ranch CDP,"3,002","1,512","1,490",55.0,56.0,53.7,N/A,N/A,73,539,"2,349","1,500","1,221",918,49.6%,18.0%,,1600000US0623150,
Fallbrook CDP,"32,267","15,931","16,336",37.4,35.5,39.2,N/A,N/A,"1,975","7,603","23,283","10,033","8,033","5,925",50.6%,23.6%,,1600000US0623462,
Granite Hills CDP,"3,267","1,662","1,605",46.6,43.5,49.6,N/A,N/A,146,641,"2,521","1,327","1,027",703,49.1%,19.6%,,1600000US0630703,
Harbison Canyon CDP,"4,048","2,039","2,009",45.5,46.4,44.6,N/A,N/A,213,868,"3,066","1,488","1,121",759,49.6%,21.4%,,1600000US0632044,
Harmony Grove CDP,"2,079","1,050","1,029",34.3,34.2,34.4,N/A,N/A,279,608,"1,411",375,270,145,49.5%,29.2%,,1600000US0632212,
Hidden Meadows CDP,"4,484","2,184","2,300",57.8,56.6,58.7,N/A,N/A,147,570,"3,817","2,453","2,071","1,626",51.3%,12.7%,,1600000US0633532,
Imperial Beach city,"26,137","13,123","13,014",34.7,33.3,36.1,N/A,N/A,"1,600","5,920","19,256","6,385","4,802","3,246",49.8%,22.6%,,1600000US0636294,
Jacumba CDP,540,280,260,49.2,48.8,52.0,N/A,N/A,26,115,412,240,185,121,48.1%,21.3%,,1600000US0637022,
Jamul CDP,"6,179","3,081","3,098",47.0,46.3,47.4,N/A,N/A,247,"1,186","4,717","2,432","1,863","1,389",50.1%,19.2%,,1600000US0637120,
Julian CDP,"1,768",884,884,50.6,49.4,50.9,N/A,N/A,64,297,"1,415",790,636,476,50.0%,16.8%,,1600000US0637582,
Lake San Marcos CDP,"5,328","2,359","2,969",63.3,60.2,65.4,N/A,N/A,120,576,"4,668","3,346","2,962","2,500",55.7%,10.8%,,1600000US0639724,
Lakeside CDP,"21,152","10,368","10,784",39.9,38.5,41.4,N/A,N/A,"1,184","4,838","15,654","6,721","5,161","3,618",51.0%,22.9%,,1600000US0639766,
La Mesa city,"61,121","29,231","31,890",38.3,36.9,39.7,N/A,N/A,"3,445","11,727","47,640","17,782","14,035","10,284",52.2%,19.2%,,1600000US0640004,
La Presa CDP,"35,033","17,162","17,871",36.2,34.8,37.6,N/A,N/A,"2,049","8,449","25,061","9,239","7,051","4,891",51.0%,24.1%,,1600000US0640326,
Lemon Grove city,"27,627","13,391","14,236",37.6,36.2,39.0,N/A,N/A,"1,610","6,114","20,475","7,788","6,080","4,315",51.5%,22.1%,,1600000US0641124,
Mount Laguna CDP,74,37,37,52.5,48.3,56.5,N/A,N/A,2,16,58,34,26,9,50.0%,21.6%,,1600000US0649810,
National City city,"56,173","27,051","29,122",35.6,33.5,38.0,N/A,N/A,"3,045","13,017","40,657","14,892","11,331","8,053",51.8%,23.2%,,1600000US0650398,
Oceanside city,"174,068","85,187","88,881",39.3,37.6,40.9,N/A,N/A,"9,057","34,818","132,981","54,342","42,374","30,637",51.1%,20.0%,,1600000US0653322,
Pala CDP,"1,490",707,783,30.3,28.0,31.0,N/A,N/A,131,540,898,294,220,139,52.6%,36.2%,,1600000US0655058,
Pine Valley CDP,"1,645",826,819,47.9,46.4,49.3,N/A,N/A,76,332,"1,281",678,547,397,49.8%,20.2%,,1600000US0657260,
Potrero CDP,648,320,328,30.6,31.6,30.0,N/A,N/A,54,213,408,124,84,60,50.6%,32.9%,,1600000US0658478,
Poway city,"48,841","24,050","24,791",42.0,40.4,43.6,N/A,N/A,"2,466","11,274","35,863","16,233","12,505","8,845",50.8%,23.1%,,1600000US0658520,
Rainbow CDP,"1,884",924,960,46.4,46.8,46.0,N/A,N/A,81,327,"1,499",731,628,479,51.0%,17.4%,,1600000US0659248,
Ramona CDP,"21,468","10,733","10,735",38.9,37.7,40.1,N/A,N/A,"1,242","4,991","15,630","6,614","4,969","3,389",50.0%,23.2%,,1600000US0659346,
Rancho San Diego CDP,"21,858","10,674","11,184",42.7,40.6,45.1,N/A,N/A,"1,039","4,521","16,515","7,738","6,173","4,472",51.2%,20.7%,,1600000US0659550,
Rancho Santa Fe CDP,"3,156","1,529","1,627",52.8,53.6,52.2,N/A,N/A,87,631,"2,407","1,483","1,177",933,51.6%,20.0%,,1600000US0659584,
San Diego city,"1,386,932","694,107","692,825",35.8,35.0,36.9,N/A,N/A,"69,341","261,863","1,058,606","351,820","269,925","194,806",50.0%,18.9%,,1600000US0666000,
San Diego Country Estates CDP,"10,395","5,182","5,213",41.6,40.9,42.1,N/A,N/A,544,"2,454","7,604","3,356","2,544","1,725",50.1%,23.6%,,1600000US0666004,
San Marcos city,"94,833","45,926","48,907",35.6,34.5,36.7,N/A,N/A,"5,480","24,185","65,526","22,146","16,894","12,270",51.6%,25.5%,,1600000US0668196,
Santee city,"60,037","28,701","31,336",39.0,38.0,40.0,N/A,N/A,"3,525","13,360","44,636","17,432","13,397","9,478",52.2%,22.3%,,1600000US0670224,
Solana Beach city,"12,941","6,245","6,696",47.2,46.0,48.2,N/A,N/A,488,"2,320","10,235","4,979","4,011","3,058",51.7%,17.9%,,1600000US0672506,
Spring Valley CDP,"30,998","15,100","15,898",36.9,35.2,38.4,N/A,N/A,"1,921","7,572","22,267","8,322","6,326","4,459",51.3%,24.4%,,1600000US0673696,
Valley Center CDP,"10,087","5,148","4,939",43.6,42.9,44.4,N/A,N/A,455,"2,169","7,537","3,643","2,845","2,060",49.0%,21.5%,,1600000US0681736,
Vista city,"98,381","49,259","49,122",35.0,34.0,36.0,N/A,N/A,"6,091","22,912","71,394","23,882","17,875","12,282",49.9%,23.3%,,1600000US0682996,
Winter Gardens CDP,"22,380","10,934","11,446",38.2,37.5,38.9,N/A,N/A,"1,252","5,190","16,363","6,563","4,918","3,415",51.1%,23.2%,,1600000US0685992,
San Francisco County,"873,965","446,144","427,821",38.2,38.1,38.3,N/A,N/A,"34,890","113,227","739,967","242,321","190,340","142,099",49.0%,13.0%,,0500000US06075,
San Francisco city,"873,965","446,144","427,821",38.2,38.1,38.3,N/A,N/A,"34,890","113,227","739,967","242,321","190,340","142,099",49.0%,13.0%,,1600000US0667000,
San Joaquin County,"779,233","388,163","391,070",35.4,34.3,36.4,N/A,N/A,"50,041","205,833","538,902","196,685","150,012","106,606",50.2%,26.4%,,0500000US06077,
Acampo CDP,334,176,158,33.9,34.0,33.8,N/A,N/A,27,88,226,93,77,62,47.3%,26.3%,,1600000US0600156,
August CDP,"8,628","4,429","4,199",30.3,29.8,30.8,N/A,N/A,682,"2,697","5,503","1,556","1,069",731,48.7%,31.3%,,1600000US0603209,
Collierville CDP,"2,094","1,072","1,022",40.5,39.4,41.1,N/A,N/A,112,487,"1,517",683,533,367,48.8%,23.3%,,1600000US0614708,
Country Club CDP,"10,777","5,336","5,441",36.0,35.0,37.0,N/A,N/A,764,"2,767","7,647","2,935","2,297","1,645",50.5%,25.7%,,1600000US0616651,
Dogtown CDP,"2,516","1,257","1,259",45.3,44.9,45.8,N/A,N/A,137,507,"1,911",936,709,523,50.0%,20.2%,,1600000US0619440,
Escalon city,"7,472","3,645","3,827",38.2,37.2,39.2,N/A,N/A,450,"1,835","5,362","2,268","1,785","1,260",51.2%,24.6%,,1600000US0622790,
Farmington CDP,220,115,105,38.0,42.5,32.5,N/A,N/A,13,61,156,74,60,44,47.7%,27.7%,,1600000US0623630,
French Camp CDP,"3,770","2,450","1,320",34.6,34.0,36.3,N/A,N/A,119,522,"3,036",654,447,253,35.0%,13.8%,,1600000US0626028,
Garden Acres CDP,"11,398","5,858","5,540",30.9,30.5,31.9,N/A,N/A,866,"3,483","7,367","2,223","1,613","1,119",48.6%,30.6%,,1600000US0628182,
Kennedy CDP,"3,223","1,618","1,605",30.6,30.3,30.9,N/A,N/A,234,"1,013","2,062",660,489,339,49.8%,31.4%,,1600000US0638065,
Lathrop city,"28,701","14,194","14,507",34.0,33.0,34.7,N/A,N/A,"2,013","8,280","19,119","5,791","4,244","2,797",50.5%,28.8%,,1600000US0640704,
Lincoln Village CDP,"4,401","2,125","2,276",37.7,35.4,39.3,N/A,N/A,280,"1,087","3,126","1,283","1,005",710,51.7%,24.7%,,1600000US0641558,
Linden CDP,"1,863",933,930,40.0,36.8,41.8,N/A,N/A,108,488,"1,297",542,422,313,49.9%,26.2%,,1600000US0641670,
Lockeford CDP,"3,333","1,667","1,666",42.2,40.4,43.7,N/A,N/A,177,757,"2,441","1,198",943,686,50.0%,22.7%,,1600000US0642104,
Lodi city,"66,348","32,253","34,095",36.6,35.2,38.4,N/A,N/A,"4,343","16,619","47,228","19,204","15,268","11,330",51.4%,25.0%,,1600000US0642202,
Manteca city,"83,498","40,992","42,506",36.9,35.5,38.1,N/A,N/A,"5,239","20,999","59,063","22,992","17,680","12,608",50.9%,25.1%,,1600000US0645484,
Morada CDP,"4,054","2,042","2,012",48.6,46.9,50.2,N/A,N/A,175,798,"3,138","1,717","1,371","1,046",49.6%,19.7%,,1600000US0649180,
Mountain House CDP,"24,499","12,165","12,334",34.1,33.9,34.2,N/A,N/A,"1,903","8,509","15,166","3,260","2,352","1,578",50.3%,34.7%,,1600000US0649582,
Peters CDP,708,342,366,44.5,43.7,45.7,N/A,N/A,31,142,541,253,204,144,51.7%,20.1%,,1600000US0656798,
Ripon city,"16,013","7,791","8,222",38.2,36.5,39.9,N/A,N/A,993,"4,279","11,108","4,567","3,536","2,580",51.3%,26.7%,,1600000US0661026,
Stockton city,"320,804","157,357","163,447",33.5,32.3,34.7,N/A,N/A,"21,801","87,797","217,524","76,340","58,621","42,044",50.9%,27.4%,,1600000US0675000,
Taft Mosswood CDP,"1,636",831,805,30.3,30.3,30.3,N/A,N/A,114,528,"1,036",333,263,181,49.2%,32.3%,,1600000US0677595,
Terminous CDP,429,208,221,60.4,61.7,57.4,N/A,N/A,8,51,374,270,218,161,51.5%,11.9%,,1600000US0678232,
Thornton CDP,"1,004",506,498,35.2,32.5,37.7,N/A,N/A,58,260,685,269,212,147,49.6%,25.9%,,1600000US0678568,
Tracy city,"93,000","46,361","46,639",35.7,34.6,36.7,N/A,N/A,"5,382","24,208","64,537","21,518","15,161","10,055",50.1%,26.0%,,1600000US0680238,
Victor CDP,313,158,155,39.2,38.5,41.2,N/A,N/A,23,93,215,83,62,41,49.5%,29.7%,,1600000US0682562,
Waterloo CDP,534,294,240,47.0,46.0,48.1,N/A,N/A,24,89,413,211,153,124,44.9%,16.7%,,1600000US0683626,
Woodbridge CDP,"4,031","1,966","2,065",43.8,43.8,43.9,N/A,N/A,190,881,"3,007","1,553","1,216",884,51.2%,21.9%,,1600000US0686230,
San Luis Obispo County,"282,424","140,271","142,153",41.4,40.0,43.1,N/A,N/A,"12,536","50,680","215,731","100,554","82,003","61,253",50.3%,17.9%,,0500000US06079,
Arroyo Grande city,"18,441","8,745","9,696",46.1,44.0,48.5,N/A,N/A,842,"3,566","14,257","7,342","6,102","4,678",52.6%,19.3%,,1600000US0602868,
Atascadero city,"29,773","14,561","15,212",41.5,40.0,43.0,N/A,N/A,"1,674","6,227","22,686","10,401","8,347","6,068",51.1%,20.9%,,1600000US0603064,
Avila Beach CDP,"1,576",747,829,60.6,60.4,60.9,N/A,N/A,38,153,"1,385",950,812,662,52.6%,9.7%,,1600000US0603330,
Blacklake CDP,"1,016",465,551,67.8,67.8,67.7,N/A,N/A,15,70,931,751,697,609,54.2%,6.9%,,1600000US0606935,
California Polytechnic State University CDP,"8,583","4,443","4,140",20.9,21.4,20.5,N/A,N/A,15,69,"4,163",40,27,19,48.2%,0.8%,,1600000US0609835,
Callender CDP,"1,282",655,627,46.1,45.9,46.4,N/A,N/A,54,255,980,517,432,298,48.9%,19.9%,,1600000US0609948,
Cambria CDP,"5,678","2,680","2,998",63.0,62.5,63.3,N/A,N/A,142,628,"4,950","3,604","3,151","2,567",52.8%,11.1%,,1600000US0610074,
Cayucos CDP,"2,505","1,175","1,330",57.8,55.8,59.1,N/A,N/A,63,313,"2,132","1,360","1,159",912,53.1%,12.5%,,1600000US0612132,
Creston CDP,98,61,37,28.8,24.5,41.1,N/A,N/A,3,24,60,22,13,5,37.8%,24.5%,,1600000US0617232,
Edna CDP,184,111,73,51.8,52.5,51.5,N/A,N/A,11,34,147,85,69,49,39.7%,18.5%,,1600000US0621565,
El Paso de Robles (Paso Robles) city,"31,490","15,259","16,231",39.0,37.3,40.7,N/A,N/A,"1,871","7,580","22,777","9,775","7,802","5,741",51.5%,24.1%,,1600000US0622300,
Garden Farms CDP,449,221,228,48.3,44.8,50.8,N/A,N/A,29,98,342,196,181,123,50.8%,21.8%,,1600000US0628210,
Grover Beach city,"12,701","6,190","6,511",41.5,40.0,43.6,N/A,N/A,617,"2,382","9,878","4,217","3,278","2,300",51.3%,18.8%,,1600000US0631393,
Lake Nacimiento CDP,"2,956","1,553","1,403",46.2,45.0,47.1,N/A,N/A,155,606,"2,296","1,147",908,640,47.5%,20.5%,,1600000US0639670,
Los Berros CDP,623,320,303,44.5,40.7,49.1,N/A,N/A,19,125,472,226,182,135,48.6%,20.1%,,1600000US0644042,
Los Osos CDP,"14,465","6,999","7,466",49.3,46.9,51.9,N/A,N/A,574,"2,506","11,599","6,328","5,339","4,012",51.6%,17.3%,,1600000US0644182,
Los Ranchos CDP,"1,516",733,783,53.6,51.3,55.3,N/A,N/A,61,299,"1,173",723,620,496,51.6%,19.7%,,1600000US0644242,
Morro Bay city,"10,757","5,148","5,609",54.6,52.8,56.1,N/A,N/A,310,"1,424","9,047","5,329","4,549","3,532",52.1%,13.2%,,1600000US0649362,
Nipomo CDP,"18,176","8,948","9,228",39.5,38.4,40.6,N/A,N/A,"1,078","4,347","13,165","5,833","4,525","3,220",50.8%,23.9%,,1600000US0651476,
Oak Shores CDP,316,143,173,58.0,57.1,59.8,N/A,N/A,11,43,272,187,139,90,54.7%,13.6%,,1600000US0653160,
Oceano CDP,"7,183","3,536","3,647",40.5,39.1,41.7,N/A,N/A,371,"1,498","5,433","2,250","1,779","1,299",50.8%,20.9%,,1600000US0653294,
Pismo Beach city,"8,072","3,875","4,197",55.7,54.2,56.9,N/A,N/A,243,"1,014","6,893","4,122","3,440","2,649",52.0%,12.6%,,1600000US0657414,
San Luis Obispo city,"47,063","23,141","23,922",31.4,30.6,32.3,N/A,N/A,"1,919","6,870","35,500","12,257","9,955","7,605",50.8%,14.6%,,1600000US0668154,
San Miguel CDP,"3,172","1,572","1,600",29.8,29.5,30.0,N/A,N/A,292,"1,047","1,993",516,341,205,50.4%,33.0%,,1600000US0668266,
San Simeon CDP,445,225,220,43.5,39.9,44.9,N/A,N/A,26,106,325,136,112,92,49.4%,23.8%,,1600000US0668434,
Santa Margarita CDP,"1,291",636,655,41.1,39.4,43.0,N/A,N/A,78,286,972,431,336,212,50.7%,22.2%,,1600000US0669182,
Shandon CDP,"1,168",588,580,33.2,32.9,33.4,N/A,N/A,83,352,761,247,186,113,49.7%,30.1%,,1600000US0671134,
Templeton CDP,"8,386","4,005","4,381",42.6,40.9,44.4,N/A,N/A,414,"2,042","6,083","2,979","2,339","1,690",52.2%,24.4%,,1600000US0678162,
Whitley Gardens CDP,325,137,188,46.9,47.3,46.0,N/A,N/A,14,72,250,119,92,62,57.8%,22.2%,,1600000US0685222,
Woodlands CDP,"1,933",902,"1,031",67.8,69.1,66.6,N/A,N/A,12,49,"1,856","1,550","1,421","1,171",53.3%,2.5%,,1600000US0686380,
San Mateo County,"764,442","377,546","386,896",39.9,38.4,41.2,N/A,N/A,"40,001","154,206","586,503","224,120","172,825","126,316",50.6%,20.2%,,0500000US06081,
Atherton town,"7,188","3,498","3,690",48.4,45.7,50.0,N/A,N/A,192,"1,363","5,172","2,890","2,351","1,847",51.3%,19.0%,,1600000US0603092,
Baywood Park CDP,"1,693",792,901,49.8,48.9,50.5,N/A,N/A,74,329,"1,316",705,542,425,53.2%,19.4%,,1600000US0604549,
Belmont city,"28,335","13,908","14,427",40.3,39.6,40.9,N/A,N/A,"1,504","6,137","21,289","7,948","6,137","4,571",50.9%,21.7%,,1600000US0605108,
Brisbane city,"4,851","2,416","2,435",42.5,41.9,43.0,N/A,N/A,270,903,"3,838","1,515","1,152",791,50.2%,18.6%,,1600000US0608310,
Broadmoor CDP,"4,411","2,191","2,220",42.4,40.6,44.2,N/A,N/A,198,753,"3,540","1,491","1,151",843,50.3%,17.1%,,1600000US0608338,
Burlingame city,"31,386","15,147","16,239",40.5,39.5,41.5,N/A,N/A,"1,666","7,084","23,549","8,749","6,738","5,079",51.7%,22.6%,,1600000US0609066,
Colma town,"1,507",767,740,41.8,40.4,43.5,N/A,N/A,76,302,"1,168",525,407,281,49.1%,20.0%,,1600000US0614736,
Daly City city,"104,901","51,877","53,024",39.9,38.0,41.7,N/A,N/A,"4,821","17,999","83,380","32,101","25,005","18,096",50.5%,17.2%,,1600000US0617918,
